productcode,productname,productprice,saleprice,available
FRK23X5.5-940-V2,"MaxLite Flush Mount Retrofit Kit, 23W, 5.5"", DIA, 90 CRI, 4000K",17.81,,#N/A
FRK28X7-930-V2,"MaxLite Flush Mount Retrofit Kit, 28W, 7"", DIA, 90 CRI, 3000K",21.25,,#N/A
FRK28X7-940-V2,"MaxLite Flush Mount Retrofit Kit, 28W, 7"", DIA, 90 CRI, 4000K",21.25,,#N/A
G13LPNS-,MaxLite T8 End Cap Socket (single piece),0.4,0.31,#N/A
HL-AR100UW-50G,"MaxLite Flood Class Division 2 HL-AR Series, 100 Watt",798,625,#N/A
HL-AR100UW-50G-D1,"MaxLite Flood Class Division 1 HL-AR-D1 Series, 100 Watt",1330,1093.75,#N/A
HL-AR150UW-50G,"MaxLite Flood Class Division 2 HL-AR Series, 150 Watt",931,750,#N/A
HL-AR150UW-50G-D1,"MaxLite Flood Class Division 1 HL-AR-D1 Series, 150 Watt",1330,1187.5,#N/A
HL-AR80UW-50G,"MaxLite Flood Class Division 2 HL-AR Series, 80 Watt",665,562.5,137
HL-AR80UW-50G-D1,"MaxLite Flood Class Division 1 HL-AR-D1 Series, 80 Watt",1263.5,1031.25,#N/A
HL-LB23U-50,"MaxLite Lowbay Class 1 Division 2 HL-LB Series, 23 Watt",432.25,375,#N/A
HL-LI2440H,"MaxLite Linear Class Division 2 HL-LI Series, 2 Foot, High Voltage",529.34,417.5,#N/A
HL-LI2440U,"MaxLite Linear Class Division 2 HL-LI Series, 2 Foot, Low Voltage",529.34,417.5,#N/A
HL-LI4880H,"MaxLite Linear Class Division 2 HL-LI Series, 4 Foot, High Voltage",762.09,583.75,#N/A
HL-LI4880U,"MaxLite Linear Class Division 2 HL-LI Series, 4 Foot, Low Voltage",762.09,583.75,#N/A
HLR110-W50PCG,"MaxLite High Bay Class 1 Division 2 Hazardous Area Light Series, 109 Watt, Pendant Mount",728.84,632.5,#N/A
